"viejo	nuevo"
"P_NIVEL_ANOSR_3	P_NIVEL_ANOS_C_Profesional"
"P_NIVEL_ANOSR_9	P_NIVEL_ANOS_C_Ninguno"
"HACINAMIENTO_0	HACINAMIENTO_0"
"HACINAMIENTO_1	HACINAMIENTO_1"
"HACINAMIENTO_NA	HACINAMIENTO_NA"
"VD_GAS_1	VD_GAS_C_Si"
"VD_GAS_2	VD_GAS_C_No"
"VD_GAS_9	VD_GAS_C_9"
"VD_GAS_NA	VD_GAS_C_NA"
"VC_ALC_1	VC_ALC_C_C_Si"
"VC_ALC_2	VC_ALC_C_C_No"
"VC_ALC_NA	VC_ALC_C_NA"
"VE_RECBAS_1	VE_RECBAS_C_C_Si"
"VE_RECBAS_2	VE_RECBAS_C_C_No"
"VE_RECBAS_NA	VE_RECBAS_C_NA"
"VF_INTERNET_1	VF_INTERNET_C_Si"
"VF_INTERNET_2	VF_INTERNET_C_No"
"VF_INTERNET_NA	VF_INTERNET_C_NA"
"P_TRABAJO_0	P_TRABAJO_C_0"
"P_TRABAJO_11	P_TRABAJO_C_Trabajo"
"P_TRABAJO_3	P_TRABAJO_C_No_trabajo_pero_tenia_un_empleo_trabajo_o_negocio_por_el_que_recibe_ingresos"
"P_TRABAJO_4	P_TRABAJO_C_Busco_trabajo"
"P_TRABAJO_5	P_TRABAJO_C_Vivio_de_jubilacion_pension_o_renta"
"P_TRABAJO_6	P_TRABAJO_C_Estudio"
"P_TRABAJO_7	P_TRABAJO_C_Realizo_oficios_del_hogar"
"P_TRABAJO_8	P_TRABAJO_C_Esta_incapacitadoa_permanentemente_para_trabajar"
"P_TRABAJO_9	P_TRABAJO_C_Estuvo_en_otra_situacion"
"P_TRABAJO_NA	P_TRABAJO_C_NA"
"PA2_HS_C_0	PA2_HS_C_0"
"PA2_HS_C_1	PA2_HS_C_1"
"PA2_HS_C_2	PA2_HS_C_2"
"PA2_HS_C_3	PA2_HS_C_3"
"PA2_HS_C_4	PA2_HS_C_4"
"PA2_HS_C_NA	PA2_HS_C_NA"
"U_DPTO	U_DPTO"
"region	region"
"dominio	dominio"
"unida	unida"
"analfabetismo	alfabeta"
"inasistencia	asistencia"
"barrerassalud	salud_nec"
"privhacinamientomit	hacinamiento"
"privparedes	paredes"
"privpisos	pisos"
"privalcantarillado	alcantarillado"
"privacueducto	acueducto"
