"viejo	nuevo"
"H_NRO_DORMIT_C_1	H_NRO_DORMIT_C_1_cuartos"
"H_NRO_DORMIT_C_2	H_NRO_DORMIT_C_2_cuartos"
"H_NRO_DORMIT_C_3	H_NRO_DORMIT_C_3_cuartos"
"H_NRO_DORMIT_C_4	H_NRO_DORMIT_C_4_cuartos"
"H_NRO_DORMIT_C_5	H_NRO_DORMIT_C_5_cuartos"
"VD_GAS_C_1	VD_GAS_C_Si"
"VD_GAS_C_2	VD_GAS_C_No"
"VC_ALC_C_C_1	VC_ALC_C_C_Si"
"VC_ALC_C_C_2	VC_ALC_C_C_No"
"VE_RECBAS_C_C_1	VE_RECBAS_C_C_Si"
"VE_RECBAS_C_C_2	VE_RECBAS_C_C_No"
"VF_INTERNET_C_1	VF_INTERNET_C_Si"
"VF_INTERNET_C_2	VF_INTERNET_C_No"
"P_TRABAJO_C_11	P_TRABAJO_C_Trabajo"
"P_TRABAJO_C_3	P_TRABAJO_C_No_trabajo_pero_tenia_un_empleo_trabajo_o_negocio_por_el_que_recibe_ingresos"
"P_TRABAJO_C_4	P_TRABAJO_C_Busco_trabajo"
"P_TRABAJO_C_5	P_TRABAJO_C_Vivio_de_jubilacion_pension_o_renta"
"P_TRABAJO_C_6	P_TRABAJO_C_Estudio"
"P_TRABAJO_C_7	P_TRABAJO_C_Realizo_oficios_del_hogar"
"P_TRABAJO_C_8	P_TRABAJO_C_Esta_incapacitadoa_permanentemente_para_trabajar"
"P_TRABAJO_C_9	P_TRABAJO_C_Estuvo_en_otra_situacion"
"P_TRABAJO_C_98	P_TRABAJO_C_Otro"
"hhid	hhid"
"hvidx	hvidx"
"P_ALFABETA_C	P_ALFABETA_C"
"V_TIPO_SERSA_C	V_TIPO_SERSA_C"
"VA_EE_C	VA_EE_C"
"H_AGUA_COCIN_C	H_AGUA_COCIN_C"
"V_MAT_PISO_C	V_MAT_PISO_C"
"V_MAT_PARED_C	V_MAT_PARED_C"
"P_EDAD_C	P_EDAD_C"
"UA_CLASE_C	UA_CLASE_C"
"PA_ASISTENCIA_C	PA_ASISTENCIA_C"
